,target,ConstrPattern
193,бить 5.2,Snom V Sacc Sins
194,бить 6.1,Snom V Sins по + Sdat
195,бить 6.2,Snom V Sins в + Sacc
196,бить 7.1,Snom V по + Sdat
197,бить 7.2,Snom V в + Sacc
198,бить 7.3,Snom V о + Sacc
199,бить 7.4,Snom V под + Sacc
200,бить 7.5,Snom V Sacc по + Sdat
201,бить 7.6,Snom V Sdat в + Sacc
202,бить 8.1,Snom V в + Sacc
203,бить 8.2,Snom V Sdat в + Sacc
204,бить 9.1,Snom V по + Sdat
205,бить 10.1,Snom V по + Sdat
206,бить 10.2,Snom V Sins по + Sdat
207,бить 11.1,Snom V Sins
208,бить 12.1,Snom V Sacc
209,бить 12.2,Snom V в + Sacc
210,бить 13.1,Snom V
211,бить 13.2,Sacc Vimpers
212,бить 13.3,Snom V Sacc
213,бить 13.4,на + Sloc Vimpers Sacc
214,бить 14.1,Snom V
215,бить 14.2,Snom V из + Sgen
216,бить 14.3,Snom V по + Sdat
217,бить 14.4,Snom V Sins [по + Sdat]
218,бить 15.1,Snom V ADV
219,бить 15.2,Snom V на + Sacc
220,бить 16.1,Snom V
221,бить 16.2,Snom V PRоткуда + Sx
222,бить 16.3,Snom V Sins
223,бить 17.1,Snom V Sacc
224,бить 18.1,Snom V Sacc
225,биться 1.1,Snom V
226,биться 1.2,Snom V за + Sacc
227,биться 1.3,Snom V с + Sins
228,биться 1.4,Snom V на + Sloc
229,биться 2.1,Snom V
230,биться 2.2,Snom V за + Sacc
231,биться 2.3,Snom V над + Sins
232,биться 2.4,Snom V с + Sins
233,биться 3.1,Snom V из-за + Sgen
234,биться 4.1,Snom V по + Sdat
235,биться 4.2,Snom V в + Sacc
236,биться 4.3,Snom V о + Sacc
237,биться 4.4,Snom V Sins о + Sacc
238,биться 5.1,Snom V
239,биться 5.2,Snom V PRгде + Sx
240,биться 5.3,Snom V в + Sloc
241,биться 6.1,Snom V
242,биться 6.2,Snom V PRгде + Sx
243,биться 6.3,Snom V у + Sgen
244,биться 7.1,Snom V
245,благодарить 1.1,V1sg
246,благодарить 1.2,Snom V Sacc
247,благодарить 2.1,Snom V Sacc
248,благодарить 2.2,Snom V Sacc за + Sacc
249,благодарить 2.3,Snom V Sacc что + CL
250,блестеть 1.1,Snom V
251,блестеть 1.2,Snom V PRгде + Sx
252,блестеть 1.3,Snom V Sins
253,блестеть 1.4,Snom V {на + солнце / в + лучах + Sgen}
254,блестеть 2.1,Snom V Sins
255,блестеть 3.1,Snom V
256,блестеть 3.2,Snom V Sins
257,блестеть 4.1,Snom V Sins
258,блестеть 4.2,Snom V в + Sloc
259,блестеть 5.1,Snom V
260,блестеть 5.2,Snom V Sins
261,блестеть 6.1,Snom V у + Sgen
262,блуждать 1.1,Snom V
263,блуждать 1.2,Snom V {ADV / PRгде + Sx}
264,блуждать 1.3,Snom V по + Sdat
265,блуждать 1.4,Snom V PRоткуда + Sx PRкуда + Sy
266,блуждать 2.1,Snom V
267,блуждать 2.2,Snom V у + Sgen
268,блуждать 2.3,Snom V Sins
269,блуждать 2.4,Snom V Sins по + Sdat
270,болеть1 1.1,Snom V
271,болеть1 1.2,Snom V Sins
272,болеть1 2.1,Snom V за + Sacc
273,болеть1 2.2,Snom V Sins
274,болеть1 2.3,Snom V за + Sacc Sins
275,болеть1 3.1,Snom V за + Sacc
276,болеть2 1.1,Snom V
277,болеть2 1.2,PRгде + Sx Vimpers
278,болеть2 2.1,Snom V
279,болеть2 2.2,Snom V у + Sgen
280,болеть2 2.3,Snom V за + Sacc
281,болтать1 1.1,Snom V Sins
282,болтать1 2.1,Sacc Vimpers
283,болтать II 1.1,Snom V
284,болтать II 1.2,Snom V с + Sins
285,болтать II 1.3,Snom V о + Sloc
286,болтать II 2.1,Snom V
287,болтать II 2.2,Snom V ADV
288,болтать II 2.3,Snom V Sacc
289,болтать II 2.4,Snom V {про + Sacc / о + Sloc}
290,болтать II 2.5,Snom V Conj + CL
291,болтать II 3.1,Snom V {ADV / на + Sloc}
292,болтаться 2.1 'о жидкости',Snom V PRгде + Sx
293,болтаться 1.1,Snom V
294,болтаться 1.2,Snom V PRгде + Sx
295,болтаться 1.3,Snom V на + Sloc
296,болтаться 3.1 'об одежде',Snom V на + Sloc
297,болтаться 4.1 'гулять без дела',Snom V
298,болтаться 4.2 'гулять без дела',Snom V {ADV / PRгде + Sx}
299,бомбардировать 1.1,Snom V Sacc
300,бомбардировать 1.2,Snom V Sacc с + Sgen
301,бомбардировать 1.3,Snom V Sacc Sins
302,бомбардировать 2.1,Snom V Sacc Sins
303,бороться 1.1,Snom V
304,бороться 1.2,Snom V с + Sins
305,бороться 2.1,Snom V
306,бороться 2.2,Snom V до + Sgen
307,бороться 2.3,Snom V против + Sgen
308,бороться 2.4,Snom V за + Sacc
309,бороться 2.5,Snom V с + Sins
310,бороться 3.1,Snom V против + Sgen
311,бороться 3.2,Snom V за + Sacc
312,бороться 3.3,Snom V с + Sins
313,бороться 4.1,Snom V
314,бороться 4.2,Snom V с + Sins
315,бороться 5.1,Snom V с + Sins
316,бороться 5.2,Snom V с + Sins у + Sgen
317,бороться 5.3,Snom V с + Sins в + Sloc
318,бояться 1.5,Snom V
319,бояться 1.1,Snom V Sgen
320,бояться 1.2,Snom V Vinf
321,бояться 1.3,Snom V Conj + CL
322,бояться 1.4,Snom V как + бы + CL
323,бояться 2.1,Snom V за + Sacc
324,бояться 3.1,Snom V что + CL
325,бояться 3.2,Snom V CL
326,бояться 3.3,Snom V CL
327,бояться 4.1,Snom V Sgen
328,взять 1.1,Snom V {Sacc / Spart}
329,взять 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
330,взять 1.3,Snom V Sacc у + Sgen
331,взять 1.4,Snom V Sacc в + Sacc
332,взять 1.5,Snom V Sacc Sins
333,взять 2.1 'контакт - за руку',Snom V Sacc за + Sacc
334,взять 2.2 'контакт - за руку',Snom V Sacc под + Sacc
335,взять 2.3 'контакт - за руку',Snom V Sacc {за + Sacc / под + Sacc} Sins
336,брать 3.1 'ребенка на руки',Snom V Sacc на + Sacc
337,взять 4.4 'детей с собой',Snom V Sacc
338,взять 4.2 'вещи с собой',Snom V Sacc PRкуда + Sx
339,брать 4.3 'детей с собой',Snom V Sacc на + Sacc
340,взять 4.6 'детей с собой',Snom V Sacc с + собой
341,взять 5.1 'бандита',Snom V Sacc
342,взять 5.2 'бандита',Snom V Sacc Ains
343,взять 5.3 'бандита',Snom V Sacc {ADV / PRгде + Sx}
344,взять 6.1 'город - об армии',Snom V Sacc
345,взять 6.2 'город - об армии',Snom V Sacc {PR + Sx / Sins}
346,взять 6.3 'город - об армии',Snom V Sacc у + Sgen
347,взять 7.1 'нанять',Snom V Sacc
348,взять 7.2 'нанять',Snom V Sacc {ADV / PRгде + Sx}
349,взять 7.3 'нанять',Snom V Sacc за + Sacc
350,взять 8.1 'нанять сотрудника',Snom V Sacc
351,взять 8.2 'нанять сотрудника',Snom V Sacc {в + Sacc / на + Sacc}
352,взять 8.3 'нанять сотрудника',Snom V Sacc Sins
353,взять 8.4 'нанять сотрудника',Snom V Sacc Vinf
354,взять 9.1 'купить',Snom V Sacc
355,взять 9.2 'купить',Snom V Sacc {ADV / PRгде + Sx}
356,взять 9.3 'купить',Snom V Sacc за + Sacc
357,взять 10.1 'одолжить',Snom V Sacc
358,взять 10.2 'одолжить',Snom V Sacc {ADV / в + долг}
359,взять 10.3 'одолжить',Snom V Sacc {ADV / PRгде + Sx}
360,взять 11.1 'пример',Snom V Sacc
361,взять 11.2 'сюжет',Snom V Sacc для + Sgen
362,взять 11.3 'сюжет',Snom V Sacc из + Sgen
363,взять 12.1 'деньги за услугу',Snom V ADV
364,взять 12.2 'деньги за услугу',Snom V по + Sdat
365,взять 12.3 'деньги за услугу',Snom V Sacc
366,взять 12.4 'деньги за услугу',Snom V {ADV / по + Sdat / Sacc} с + Sgen
367,взять 12.5 'деньги за услугу',Snom V {ADV / по + Sdat / Sacc} за + Sacc
368,взять 13.1 (идиом.) 'правей',Snom V {ADV / PRкуда + Sx}
369,взять 14.1 (идиом.) 'ловиться на приманку',Snom V ADV
370,взять 14.2 (идиом.) 'ловиться на приманку',Snom V на + Sacc
371,взять 15.1 (идиом.) о возможностях инструмента,Snom V
372,взять 15.2 (идиом.) о возможностях инструмента,Snom V ADV
373,взять 15.3 (идиом.) о возможностях инструмента,Snom V Sacc
374,взять 15.4 (идиом.) о возможностях инструмента,Snom V на + Sacc
375,взять 17.1 (идиом.) 'побеждать числом',Snom V Sins
376,взять 18.1 (идиом.) об эмоции,Snom V
377,взять 18.2 (идиом.) об эмоции,Snom V Sacc
378,взять 19.1 (идиом.) слова назад,Snom V Sacc назад/обратно
379,взять 20.1 (идиом.) 'барьер - о лошади',Snom V Sacc
380,"взять 21.1 (идиом.) аккорд, ноту",Snom V Sacc
381,"взять 22.1 (идиом.) в скобки, в клещи",Snom V Sacc в + Sacc
382,взять 22.2 (идиом.) на учет,Snom V Sacc на + Sacc
383,взять 5.5 (идиом.) под арест,Snom V Sacc под + Sacc
384,взять 23.1 (идиом.) на себя поручение,Snom V Sacc
385,взять 23.2 (идиом.) на себя поручение,Snom V Sacc на + себя
386,браться 1.1,Snom V за + Sacc
387,браться 1.2,Snom V за + Sacc Sins
388,браться 2.1,Snom V за + Sacc
389,браться 3.1,Snom V за + Sacc
390,браться 4.1,Snom V Vinf
391,браться 5.1,откуда Snom V
392,браться 5.2,откуда Snom V у + Sgen
393,брить 1.1,Snom V Sacc
394,брить 1.2,Snom V Sacc Sdat
395,брить 1.3,Snom V Sacc Sins
396,брить 2.1,Snom V Sacc
397,брить 2.2,Snom V Sacc Sdat
398,брить 2.3,Snom V Sacc Sins
399,бриться 1.1,Snom V
400,бриться 1.2,Snom V Sins
401,бриться 2.1,Snom V
402,бродить 1.1,Snom V
403,бродить 1.2,Snom V {ADV / PRгде + Sx}
