,target,ConstrPattern
9131,считать 3.1,Snom V
9132,считать 3.2,Snom V Sacc
9133,считать 3.3,Snom V сколько + CL
9134,считать 3.4,Snom V Sacc по + Sdat
9135,считать 3.5,Snom V Sacc в + Sloc
9136,считать 4.1,Snom V Sacc
9137,считать 4.2,Snom V {от + Sgen / с + Sgen}
9138,считать 5.1,Snom V что + CL
9139,считать 5.2,Snom V Sacc ADV
9140,считать 5.3,Snom V Sacc Ains
9141,считать 5.4,Snom V Sacc за + Sacc
9142,считать 5.5,Snom V Sacc Sins
9143,считать 5.6,как + Snom V CLi
9144,считать 5.7,Snom V за + Sacc что + CL
9145,считаться 1.1,Snom V
9146,считаться 2.1,Snom V с + Sins
9147,считаться 3.1,Snom V Ains
9148,считаться 3.2,Snom V Sins
9149,считаться 3.3,Vimpers что + CL
9150,сыпать 1.1,Snom V Sacc {в + Sacc / на + Sacc}
9151,сыпать 2.1,Snom V Sacc {в + Sacc / на + Sacc}
9152,сыпать 2.2,Snom V Sins в + Sacc
9153,сыпать 3.1,Snom V
9154,сыпать 3.2,Snom V с + Sgen
9155,сыпать 3.3,Snom V на + Sacc
9156,сыпать 4.1,Snom V Sins
9157,сыпаться 1.1,Snom V
9158,сыпаться 1.2,Snom V {ADV / PRоткуда + Sx}
9159,сыпаться 1.3,Snom V на + Sacc
9160,сыпаться 1.4,Snom V под + Sins
9161,сыпаться 2.1,Snom V
9162,сыпаться 2.2,Snom V PRоткуда + Sx
9163,сыпаться 2.3,Snom V PRкуда + Sx
9164,сыпаться 3.1,Snom V
9165,сыпаться 3.2,Snom V {ADV / PRоткуда + Sx}
9166,сыпаться 3.3,Snom V на + Sacc
9167,сыпаться 3.4,Snom V Sins
9168,сыпаться 4.1,Snom V
9169,сыпаться 4.2,Snom V {ADV / PRоткуда + Sx}
9170,сыпаться 4.3,Snom V на + Sacc
9171,сыпаться 5.1,Snom V
9172,сыпаться 5.2,Snom V PRоткуда + Sx
9173,сыпаться 5.3,Snom V на + Sacc
9174,танцевать 1.1,Snom V
9175,танцевать 1.2,Snom V Sacc
9176,танцевать 1.3,Snom V с + Sins
9177,танцевать 2.1,Snom V
9178,танцевать 2.2,Snom V ADV
9179,танцевать 3.1,Snom V Sacc
9180,танцевать 3.2,Snom V в + Sloc
9181,танцевать 4.1,Snom V
9182,танцевать 4.2,Snom V PRгде + Sx
9183,таскать 1.1,Snom V Sacc
9184,таскать 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
9185,таскать 1.3,Snom V Sacc {ADV / PRкуда + Sx}
9186,таскать 1.4,Snom V Sacc PRтраект + Sx
9187,таскать 1.5,Snom V Sacc {в + Sloc / на + Sloc}
9188,таскать 2.1,Snom V Sacc
9189,таскать 3.1,Snom V Sacc за + Sacc
9190,таскать 4.1,Snom V Sacc
9191,таскать 4.2,Snom V Sacc PRоткуда + Sx
9192,таскать 4.3,Snom V Sacc у + Sgen
9193,тащить 1.1,Snom V Sacc
9194,тащить 1.2,Snom V Sacc PRоткуда + Sx
9195,тащить 1.3,Snom V Sacc PRкуда + Sx
9196,тащить 1.4,Snom V Sacc за + Sacc
9197,тащить 2.1,Snom V Sacc
9198,тащить 3.1,Snom V Sacc {ADV / PRкуда + Sx}
9199,тащить 3.3,Snom V Sacc за + Sacc
9200,тащить 3.4,Snom V Sacc под + Sacc
9201,тащить 3.5,Snom V Sacc на + Sloc
9202,тащить 4.1,Snom V Sacc {ADV / PRкуда + Sx}
9203,тащить 4.2,Snom V Sacc на + Sacc
9204,тащить 4.3,Snom V Sacc Vinf
9205,тащить 5.1,Snom V Sacc
9206,тащить 5.2,Snom V Sacc {ADV / PRоткуда + Sx}
9207,тащить 5.3,Snom V Sacc {ADV / PRкуда + Sx}
9208,тащить 5.4,Snom V Sacc {в + Sloc / на + Sloc}
9209,тащить 6.1,Snom V Sacc
9210,тащить 6.2,Snom V Sacc PRоткуда + Sx
9211,тащить 6.3,Snom V Sacc Sins
9212,тащить 7.1,Snom V Sacc
9213,тащить 7.2,Snom V Sacc {ADV / PRоткуда + Sx}
9214,тащить 7.3,Snom V Sacc у + Sgen
9215,таять 1.1,Snom V
9216,таять 1.2,Vimpers
9217,таять 2.1,Snom V
9218,таять 3.1,Snom V
9219,таять 3.2,Snom V от + Sgen
9220,таять 4.1,Snom V
9221,таять 5.1,Snom V
9222,таять 5.2,Snom V {ADV / PRгде + Sx}
9223,таять 6.1,Snom V
9224,таять 6.2,Snom V от + Sgen
9225,таять 6.3,Snom V у + Sgen
9226,твердить 1.1,Snom V Sacc
9227,твердить 2.1,Snom V о + Sloc
9228,твердить 2.2,Snom V что + CL
9229,твердить 2.3,Snom V «CL»
9230,твердить 2.4,Snom V {о + Sloc / что + CL / «CL»} Sdat
9231,творить 1.1,Snom V
9232,творить 1.2,Snom V Sacc
9233,творить 2.1,Snom V Sacc
9234,твориться 1.1,Snom V {ADV / PRгде + Sx}
9235,твориться 1.2,Snom V с + Sins
9236,тереть 1.1,Snom V Sacc
9237,тереть 1.2,Snom V Sacc Sins
9238,тереть 1.3,Snom V Sacc о + Sacc
9239,тереть 1.4,Snom V Sacc Sins
9240,тереть 1.5,Snom V Sacc Sins
9241,тереть 2.1,Snom V Sacc
9242,тереть 2.2,Snom V Sacc {в + Sloc / на + Sloc}
9243,тереть 3.1,Snom V Sacc
9244,тереть 3.2,Snom V Sacc Sdat
9245,терпеть 1.1,Snom V
9246,терпеть 1.2,Snom V Sacc
9247,терпеть 2.1,Snom V Sacc
9248,терпеть 2.2,Snom V Conj + CL
9249,терпеть 2.3,Snom V чтобы + CL
9250,терпеть 3.1,Snom V Sacc
9251,терпеть 4.1,Snom V Sacc
9252,терять 1.1,Snom V Sacc
9253,терять 1.2,Snom V Sacc {ADV / PRгде + Sx}
9254,терять 2.1,Snom V Sacc
9255,терять 3.1,Snom V Sacc
9256,терять 3.2,Snom V Sacc от + Sgen
9257,терять 4.1,Snom V Sacc
9258,терять 4.2,Snom V Sacc на + Sacc
9259,терять 4.3,Snom V Sacc на + Sloc
9260,терять 5.1,Snom V Sacc
9261,терять 5.2,Snom V в + Sloc
9262,терять 6.1,Snom V в + Sloc
9263,терять 7.1,Snom V {ADV / Sacc}
9264,теряться 1.1,Snom V
9265,теряться 1.2,Snom V {ADV / PRгде + Sx}
9266,теряться 2.1,Snom V
9267,теряться 2.2,Snom V перед + Sins
9268,теряться 2.3,Snom V {в + Sloc / на + Sloc}
9269,теряться 3.1,Snom V
9270,теряться 3.2,Snom V от + Sgen
9271,течь 1.1,Snom V
9272,течь 1.2,Snom V у + Sgen
9273,течь 1.3,Snom V {ADV / PRоткуда + Sx}
9274,течь 1.4,Snom V {ADV / PRкуда + Sx}
9275,течь 1.5,Snom V PRтраект + Sx
9276,течь 1.6,Snom V Sins
9277,течь 1.7,{ADV / PRоткуда + Sx} Vimpers
9278,течь 1.8,PRоткуда + Sx Vimpers у + Sgen
9279,течь 2.1,Snom V {ADV / PRоткуда + Sx}
9280,течь 2.2,Snom V {ADV / PRкуда + Sx}
9281,течь 2.3,Snom V PRтраект + Sx
9282,течь 3.1,Snom V ADV
9283,течь 4.1,Snom V
9284,течь 4.2,Snom V {ADV / Sins}
9285,течь 5.1,Snom V
9286,течь 6.1,Snom V PRоткуда + Sx
9287,течь 6.2,Snom V PRкуда + Sx
9288,течь 6.3,Snom V Sins
9289,толкать 1.1,Snom V Sacc
9290,толкать 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
9291,толкать 1.3,Snom V Sacc {ADV / PRкуда + Sx}
9292,толкать 1.4,Snom V Sacc {в + Sacc / под + Sacc}
9293,толкать 1.5,Snom V Sacc Sins
9294,толкать 2.1,Snom V Sacc
9295,толкать 2.2,Snom V Sacc {ADV / PRкуда + Sx}
9296,толкать 2.3,Snom V Sacc Sins
9297,толкать 3.1,Snom V Sacc к + Sdat
9298,толкать 3.2,Snom V Sacc на + Sacc
9299,толкаться 1.1,Snom V
9300,толкаться 1.2,Snom V {ADV / PRгде + Sx}
9301,толкаться 1.3,Snom V Sins
9302,толкаться 2.1,Snom V
9303,толкаться 2.2,Snom V в + Sacc
9304,толкаться 2.3,Snom V о + Sacc
9305,толкаться 2.4,Snom V {в + Sacc / о + Sacc} Sins
9306,толкаться 3.1,Snom V Sins
9307,толкаться 4.1,Snom V PRкуда + Sx
9308,толковать 1.1,Snom V Sacc
9309,толковать 1.2,Snom V Sacc ADV
9310,толковать 2.1,Snom V Sacc Sdat
9311,толковать 2.2,Snom V Sdat Conj + CL
9312,толковать 2.3,Snom V Sdat CL
9313,толковать 2.4,Snom V Sdat Rel + CL
9314,толковать 2.5,Snom V Sdat «CL»
9315,толковать 3.1,Snom V
9316,толковать 3.2,Snom V между + собой
9317,толковать 3.3,Snom V с + Sins
9318,толковать 3.4,Snom V {о + Sloc / про + Sacc}
9319,толковать 3.5,Snom V Conj + CL
9320,тонуть 1.1,Snom V
9321,тонуть 1.2,Snom V в + Sloc
9322,тонуть 2.1,Snom V
9323,тонуть 2.2,Snom V в + Sloc
9324,тонуть 3.1,Snom V в + Sloc
9325,торговать 1.1,Snom V
9326,торговать 1.2,Snom V Sins
9327,торговать 1.3,Snom V с + Sins
9328,торговать 1.4,Snom V Sins ADV
9329,торговать 2.1,Snom V {ADV / PRгде + Sx}
9330,торговать 3.1,Snom V
9331,торговать 3.2,Snom V до + Sgen
9332,торговать 3.3,Snom V с + Sgen
9333,торговать 4.1,Snom V Sins
9334,торговаться 1.1,Snom V
9335,торговаться 1.2,Snom V из-за + Sgen
9336,торговаться 1.3,Snom V за + Sacc
9337,торговаться 1.4,Snom V с + Sins
9338,торговаться 1.5,Snom V о + Sloc
9339,торговаться 2.1,Snom V с + Sins
9340,торговаться 2.2,Snom V Rel + CL
9341,тормозить 1.1,Snom V
9342,тормозить 2.1,Snom V
9343,тормозить 2.2,Snom V Sacc
9344,тормозить 2.3,Snom V Sins
9345,тормозить 3.1,Snom V Sacc
9346,торопиться 1.1,Snom V
9347,торопиться 1.2,Snom V PRкуда + Sx
9348,торопиться 1.3,Snom V на + Sacc
9349,торопиться 1.4,Snom V с + Sins
9350,торопиться 1.5,Snom V Vinf
9351,торопиться 1.6,Sdat ADV Vinf
9352,торопиться 2.1,Snom V {ADV / PRкуда + Sx}
9353,торопиться 3.1,Snom V
9354,торопиться 3.2,Snom V с + Sins
9355,торопиться 3.3,Snom V Vinf
9356,торчать 1.1,Snom V
9357,торчать 1.2,Snom V {ADV / PRоткуда + Sx}
9358,торчать 1.3,Snom V {ADV / PRкуда + Sx}
9359,торчать 1.4,Snom V {ADV / PRгде + Sx}
9360,торчать 2.1,Snom V {ADV / PRгде + Sx}
9361,тосковать 1.1,Snom V
9362,тосковать 1.2,Snom V {по + Sdat / о + Sloc}
9363,точить 1.1,Snom V Sacc
9364,точить 1.2,Snom V Sacc о + Sacc
9365,точить 1.3,Snom V Sacc Sins
9366,точить 1.4,Snom V Sacc на + Sloc
9367,точить 2.1,Snom V Sacc
9368,точить 2.2,Snom V Sacc из + Sgen
9369,точить 3.1,Snom V Sacc
9370,точить 4.1,Snom V Sacc
9371,точить 4.2,Snom V Sacc за + Sacc
9372,тошнить 1.1,Sacc Vimpers от + Sgen
9373,тошнить 2.1,Sacc Vimpers от + Sgen
9374,тратить 1.1,Snom V Sacc
9375,тратить 1.2,Snom V Sacc на + Sacc
9376,тратить 2.1,Snom V Sacc
9377,тратить 2.2,Snom V Sacc на + Sacc
9378,тратить 3.1,Snom V Sacc на + Sacc
9379,требовать 1.1,Snom V Sgen
9380,требовать 1.2,Snom V Sacc
9381,требовать 1.3,Snom V Vinf
9382,требовать 1.4,Snom V чтобы + CL
9383,требовать 1.5,Snom V Sgen от + Sgen
9384,требовать 1.6,Snom V {Sgen / Sacc} у + Sgen
9385,требовать 2.1,Snom V Sgen
9386,требовать 2.2,Snom V Vinf
9387,требовать 2.3,Snom V чтобы + CL
9388,требовать 2.4,Snom V Sgen от + Sgen
9389,требовать 3.1,Snom V Sacc
9390,требовать 3.2,Snom V Sacc PRкуда + Sx
9391,требовать 4.1,Snom V Sacc
9392,тревожить 1.1,Snom V Sacc
9393,тревожить 2.1,Snom V Sacc
9394,тревожить 5.1,Snom V Sacc
9395,трепать 1.1,Snom V Sacc
9396,трепать 1.2,Snom V Sacc Sdat
9397,трепать 1.3,Snom V Sacc Sins
9398,трепать 2.1,Snom V Sacc
9399,трепать 2.2,Snom V Sacc Sdat
9400,трепать 2.3,Snom V Sacc на + Sloc
9401,трепать 3.1,Snom V Sacc
9402,трепать 3.2,Snom V Sacc по + Sdat
9403,трепать 3.3,Snom V Sacc Sins
9404,трепать 4.1,Snom V Sacc
9405,трепать 4.2,Snom V Sacc за + Sacc
9406,трепать 4.3,Snom V Sacc Sins
9407,трепать 5.1,Snom V Sacc
9408,трепать 5.2,Sacc Vimpers
9409,трепать 6.1,Snom V Sacc
9410,трепать 7.1,Snom V Sacc
9411,трепать 8.1,Snom V Sacc
9412,трепать 9.1,Snom V
9413,трепать 9.2,Snom V Sacc
9414,трепать 9.3,Snom V {про + Sacc / о + Sloc}
9415,трещать 1.1,Snom V
9416,трещать 2.1,Vimpers
9417,трещать 2.2,Snom V от + Sgen
9418,трещать 2.3,Snom V под + Sins
9419,трещать 2.4,Snom V на + Sloc
9420,трещать 3.1,Snom V
9421,трещать 3.2,Snom V в + Sacc
9422,трещать 3.3,Snom V Sins
9423,трещать 4.1,Snom V
9424,трещать 5.1,Snom V
9425,трещать 5.2,Snom V PRгде + Sx
9426,трещать 6.1,Snom V
9427,трещать 6.2,Snom V о + Sloc
9428,трещать 7.1,Snom V
9429,трещать 7.2,Snom V от + Sgen
9430,трещать 7.3,Snom V у + Sgen
9431,трогать 1.1,Snom V Sacc
9432,трогать 1.2,Snom V Sacc за + Sacc
9433,трогать 1.3,Snom V Sacc Sins
9434,трогать 2.1,Snom V Sacc
9435,трогать 3.1,Snom V Sacc
9436,трогать 4.1,Snom V Sacc
9437,трогать 4.2,Snom V Sacc до + Sgen
9438,трогать 4.3,Snom V Sacc Sins
9439,трогать 5.1,Snom V
9440,трогать 5.2,Snom V с + места
9441,трогать 6.1,Snom V Sacc
9442,трогать 6.2,Snom V Sacc с + места
9443,трогать 6.3,Snom V Sacc Sins
9444,трогать 7.1,Snom V Sacc
9445,трогать 7.2,Snom V Sacc Sins
9446,трудиться 1.1,Snom V
9447,трудиться 1.2,Snom V {ADV / PRгде + Sx}
9448,трудиться 1.3,Snom V на + Sacc
9449,трудиться 2.1,Snom V над + Sins
9450,трудиться 3.1,Snom V
9451,трудиться 3.2,Snom V Vinf
9452,трусить 1.1,Snom V
9453,трусить 1.2,Snom V Sgen
9454,трусить 1.3,Snom V перед + Sins
9455,трусить 1.4,Snom V Vinf
9456,трясти 1.1,Snom V Sacc
9457,трясти 1.2,Snom V Sacc за + Sacc
9458,трясти 2.1,Snom V руку Sdat
9459,трясти 3.1,Snom V Sacc
9460,трясти 3.2,Snom V Sacc
9461,трясти 3.3,Snom V Sacc с + Sgen
9462,трясти 3.4,Snom V Sacc на + Sacc
9463,трясти 4.1,Snom V Sacc
9464,трясти 4.2,Snom V Sacc из + Sgen
9465,трясти 5.1,Snom V Sacc из + Sgen
9466,трясти 5.2,Snom V Sacc на + Sacc
9467,трясти 6.1,Snom V Sins
9468,трясти 6.2,Snom V Sins перед + Sins
9469,трясти 7.1,Snom V головой
9470,трясти 8.1,Snom V Sacc
9471,трясти 9.1,Snom V Sacc
9472,трясти 9.2,Sacc Vimpers
9473,трясти 10.1,Sacc Vimpers
9474,трясти 10.2,в + Sloc Vimpers
9475,трястись 1.1,Snom V
9476,трястись 1.2,Snom V от + Sgen
9477,трястись 1.3,Snom V у + Sgen
9478,трястись 2.1,Snom V
9479,трястись 2.2,Snom V от + Sgen
9480,трястись 2.3,Snom V под + Sins
9481,трястись 3.1,Snom V
9482,трястись 3.2,Snom V от + Sgen
9483,трястись 3.3,Snom V всем + телом
9484,трястись 3.4,Snom V в + Sloc
9485,трястись 4.1,Snom V
9486,трястись 4.2,Snom V за + Sacc
9487,трястись 4.3,Snom V перед + Sins
9488,трястись 5.1,Snom V над + Sins
9489,трястись 6.1,Snom V PRтраект + Sx
9490,трястись 7.1,Snom V по + Sdat
9491,трястись 7.2,Snom V {в + Sloc / на + Sloc}
9492,тушить 1.1,Snom V Sacc
9493,тушить 1.2,Snom V Sacc Sins
9494,тянуть 1.1,Snom V Sacc
9495,тянуть 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
9496,тянуть 1.3,Snom V Sacc {ADV / PRкуда + Sx}
9497,тянуть 1.4,Snom V Sacc за + Sacc
9498,тянуть 2.1,Snom V Sacc PRоткуда + Sx
9499,тянуть 2.2,Snom V Sacc PRкуда + Sx
9500,тянуть 3.1,Snom V Sacc
9501,тянуть 3.2,Snom V Sacc PRоткуда + Sx
9502,тянуть 3.3,Snom V Sacc PRкуда + Sx
9503,тянуть 3.4,Snom V Sacc PRтраект + Sx
9504,тянуть 4.1,Snom V Sacc
9505,тянуть 4.2,Snom V Sacc {ADV / PRоткуда + Sx}
9506,тянуть 4.3,Snom V Sacc {ADV / PRкуда + Sx}
9507,тянуть 4.4,Snom V Sacc Vinf
9508,тянуть 5.1,Snom V Sacc
9509,тянуть 5.2,Snom V Sacc PRкуда + Sx
9510,тянуть 5.3,Snom V Sacc PRтраект + Sx
9511,тянуть 6.1,Snom V
9512,тянуть 6.2,Snom V ADV
9513,тянуть 7.1,Snom V Sacc
9514,тянуть 8.1,Snom V Sacc
9515,тянуть 8.2,Snom V Sacc к + себе
9516,тянуть 8.3,Sacc Vimpers PRкуда + Sx
9517,тянуть 9.1,Sacc Vimpers к + Sdat
9518,тянуть 9.2,Sacc Vimpers Vinf
9519,тянуть 9.3,Sacc Vimpers на + Sacc
9520,тянуть 10.1,Snom V Sacc у + Sgen
9521,тянуть 11.1,Snom V Sacc {ADV / PRоткуда + Sx}
9522,тянуть 11.2,Snom V Sacc у + Sgen
9523,тянуть 12.1,Snom V Sacc
9524,тянуть 12.2,Snom V Sacc PRоткуда + Sx
9525,тянуть 12.3,Snom V Sacc в + Sacc
9526,тянуть 13.1,Snom V Sacc
9527,тянуть 14.1,Snom V Sacc
9528,тянуть 14.2,Snom V «CL»
9529,тянуть 15.1,Snom V Sacc
9530,тянуть 15.2,Snom V с + Sins
9531,тянуть 16.1,Snom V {ADV / Sacc}
9532,тянуть 17.1,Snom V
9533,тянуть 17.2,Snom V Sacc
9534,тянуть 17.3,{Sacc / в + Sloc} Vimpers
9535,тянуть 18.1,Snom V {ADV / Sacc}
9536,тянуть 19.1,Snom V
9537,тянуть 19.2,Snom V PRоткуда + Sx
9538,тянуть 20.1,Sins Vimpers
9539,тянуть 20.2,Sins Vimpers {ADV / PRоткуда + Sx}
9540,тянуть 20.3,Sins Vimpers в + Sacc
9541,тянуться 1.1,Snom V {ADV / PRоткуда + Sx}
9542,тянуться 1.2,Snom V {ADV / PRкуда + Sx}
9543,тянуться 1.3,Snom V PRтраект + Sx
9544,тянуться 2.3,Snom V
9545,тянуться 2.2,Snom V PRоткуда + Sx
9546,тянуться 2.1,Snom V PRкуда + Sx
9547,тянуться 2.4,Snom V {ADV / PRгде + Sx}
9548,тянуться 2.5,Snom V PRтраект + Sx
9549,тянуться 3.1,Snom V PRкуда + Sx
9550,тянуться 3.2,Snom V за + Sins
9551,тянуться 3.3,Snom V PRкуда + Sx Sins
9552,тянуться 4.1,Snom V PRкуда + Sx
9553,тянуться 4.2,Snom V PRкуда + Sx Sins
9554,тянуться 5.1,Snom V {ADV / PRоткуда + Sx}
9555,тянуться 5.2,Snom V {ADV / PRкуда + Sx}
9556,тянуться 5.3,Snom V PRтраект + Sx
9557,тянуться 6.1,Snom V
9558,тянуться 6.2,Snom V {ADV / PRоткуда + Sx}
9559,тянуться 6.3,Snom V {ADV / PRкуда + Sx}
9560,тянуться 6.4,Snom V PRтраект + Sx [{ADV / PRкуда + Sx}]
9561,тянуться 6.5,Snom V на + Sacc
9562,тянуться 6.6,Snom V Vinf
9563,тянуться 7.1,Snom V {ADV / PRкуда + Sx}
9564,тянуться 8.1,Snom V за + Sins
9565,тянуться 9.1,Snom V
9566,тянуться 9.2,Snom V за + Sins
9567,тянуться 14.1,Snom V
9568,тянуться 11.1,Snom V перед + Sins
9569,тянуться 12.1,Snom V
9570,тянуться 13.1,Snom V
9571,убедить 1.4,Snom V Sacc
9572,убедить 1.3,Snom V Sacc Sins
9573,убедить 1.2,Snom V Sacc в + Sloc
9574,убедить 1.1,Snom V Sacc что + CL
9575,убедить 2.1,Snom V Sacc Vinf
9576,убедить 2.2,Snom V Sacc чтобы + CL
9577,убедить 2.3,Snom V «CL»
9578,убедить 2.4,Snom V Sacc «CL»
9579,убедиться 1.1,Snom V в + Sloc
9580,убедиться 1.2,Snom V что + CL
9581,убежать 1.1,Snom V
9582,убежать 1.2,Snom V {ADV / PRоткуда + Sx}
9583,убежать 1.3,Snom V {ADV / PRкуда + Sx}
9584,убежать 1.4,Snom V PRтраект + Sx
9585,убежать 1.5,Snom V Vinf
9586,убежать 2.1,Snom V {ADV / PRкуда + Sx}
9587,убежать 3.1,Snom V от + Sgen
9588,убежать 3.2,Snom V с + Sins
9589,убить 1.1,Snom V Sacc
9590,убить 1.2,Snom V Sacc из + Sgen
9591,убить 1.3,Snom V Sacc Sins
9592,убить 2.1,Snom V Sacc
9593,убить 2.2,Snom V Sacc Sins
9594,убить 3.1,Snom V Sacc
9595,убить 3.2,Snom V Sacc Sins
9596,убить 3.3,Snom V Sacc в + Sloc
9597,убрать 1.1,Snom V Sacc
9598,убрать 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
9599,убрать 2.1,Snom V Sacc
9600,убрать 3.1,Snom V Sacc
9601,убрать 3.2,Snom V Sacc Sins
9602,убрать 4.1,Snom V Sacc
9603,убрать 4.2,Snom V за + Sins
9604,убрать 4.3,Snom V {в + Sloc / на + Sloc}
9605,убрать 5.1,Snom V Sacc
9606,убрать 5.2,Snom V Sacc {ADV / на + Sacc}
9607,убрать 5.3,Snom V Sacc в + Sloc
9608,уважать 1.1,Snom V Sacc
9609,уважать 1.2,Snom V Sacc {за + Sacc / как + Sacc}
9610,увеличить 1.1,Snom V Sacc
9611,увеличить 1.2,Snom V Sacc {ADV / в + Sacc}
9612,увеличить 1.3,Snom V Sacc до + Sgen
9613,увеличить 1.4,Snom V Sacc на + Sacc
9614,увеличить 2.1,Snom V Sacc
9615,увести 1.1,Snom V Sacc
9616,увести 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
9617,увести 1.3,Snom V Sacc {ADV / PRкуда + Sx}
9618,увести 1.4,Snom V Sacc с + собой
9619,увести 1.5,Snom V Sacc Vinf
9620,увести 2.1,Snom V Sacc
9621,увести 2.2,Snom V Sacc PRоткуда + Sx
9622,увести 2.3,Snom V Sacc у + Sgen
9623,увести 8.1,Snom V {ADV / PRкуда + Sx}
9624,увести 8.2,Snom V Sacc {ADV / PRкуда + Sx}
9625,увести 4.1,Snom V Sacc PRкуда + Sx
9626,увести 4.2,Snom V Sacc от + Sgen
9627,увлечь 1.1,Snom V Sacc
9628,увлечь 1.2,Snom V Sacc PRкуда + Sx
9629,увлечь 1.3,Snom V Sacc за + собой
9630,увлечь 2.1,Snom V Sacc
9631,увлечь 2.2,Snom V Sacc Sins
9632,увлечь 3.1,Snom V Sacc
9633,увлечься 1.1,Snom V
9634,увлечься 2.1,Snom V Sins
9635,увлечься 3.1,Snom V
9636,увлечься 3.2,Snom V Sins
9637,уволить 1.1,Snom V Sacc
9638,уволить 1.2,Snom V Sacc PRоткуда + Sx
9639,уволить 1.3,Snom V Sacc по + Sdat
9640,уволить 1.4,Snom V Sacc в + Sacc
9641,уволить 1.5,Snom V Sacc за + Sacc
9642,уволить 2.1,Vimper!
9643,угадать 1.1,Snom V Sacc
9644,угадать 1.2,Snom V что + CL
9645,угадать 1.3,Snom V Rel + CL
9646,угадать 1.4,Snom V {Sacc / что + CL / Rel + CL} по + Sdat
9647,угадать 1.5,Snom V {Sacc / что + CL / Rel + CL} Sins
9648,угадать 2.1,Snom V Sacc
9649,угадать 2.2,Snom V Sacc в + Sloc
9650,угнетать 1.1,Snom V Sacc
9651,угнетать 2.1,Snom V Sacc
9652,угнетать 2.2,Snom V Sacc Sins
9653,уговорить 1.1,Snom V Sacc
9654,уговорить 1.2,Snom V Sacc Vinf
9655,уговорить 2.1,Snom V Sacc
9656,уговорить 2.2,Snom V себя что + CL
9657,уговорить 2.3,Snom V Sacc «CL»
9658,угодить 1.1,Snom V Sdat
9659,угодить 1.2,Snom V Sdat в + Sloc
9660,угодить 1.3,Snom V на + Sacc
9661,угодить 2.1,Snom V PRкуда + Sx
9662,угодить 2.2,Snom V PRкуда + Sx Sins
9663,угодить 3.1,Snom V по + Sdat
9664,угодить 3.2,Snom V в + Sacc
9665,угодить 3.3,Snom V {по + Sdat / в + Sacc} Sdat
9666,угодить 4.1,Snom V по + Sdat Sdat
9667,угодить 4.2,Snom V в + Sacc Sins
9668,угодить 4.3,Snom V {по + Sdat / в + Sacc} Sdat Sins
9669,удалиться 1.1,Snom V
9670,удалиться 1.1,Snom V от + Sgen
9671,удалиться 2.1,Snom V PRоткуда + Sx
9672,удалиться 2.2,Snom V PRкуда + Sx
9673,ударить 1.1,Snom V Sacc
9674,ударить 1.2,Snom V Sacc по + Sdat
9675,ударить 1.3,Snom V Sacc в + Sacc
9676,ударить 1.4,Snom V Sacc Sins
9677,ударить 2.1,Snom V Sins по + Sdat
9678,ударить 2.2,Snom V Sins в + Sacc
9679,ударить 2.3,Snom V Sins о + Sacc
9680,ударить 3.1,Snom V по + Sdat
9681,ударить 3.2,Snom V в + Sacc
9682,ударить 3.3,Snom V о + Sacc
9683,ударить 4.1,Snom V в + Sacc
9684,ударить 4.2,Snom V в + Sacc Sdat
9685,ударить 5.1,Snom V по + Sdat
9686,ударить 6.1,Snom V Sacc
9687,ударить 7.1,Snom V
9688,ударить 8.1,Snom V
9689,ударить 9.1,Snom V
9690,удариться 1.1,Snom V
9691,удариться 1.2,Snom V о + Sacc
9692,удариться 1.3,Snom V Sins
9693,удариться 2.1,Snom V в + Sacc
9694,удариться 2.2,Snom V о + Sacc
9695,удариться 2.3,Snom V {в + Sacc / о + Sacc} Sins
9696,удариться 3.1,Snom V в + Sacc
9697,удаться 1.1,Snom V
9698,удаться 1.2,Snom V Sdat
9699,удаться 2.1,Sdat Vimpers Vinf
9700,удаться 3.1,Snom V в + Sacc
9701,уделить 1.1,Snom V Sacc Sdat
9702,уделить 2.1,Snom V Sacc Sdat
9703,удержать 1.1,Snom V Sacc
9704,удержать 1.2,Snom V Sacc Sins
9705,удержать 1.3,Snom V Sacc в + Sloc
9706,удержать 2.1,Snom V Sacc
9707,удержать 2.2,Snom V Sacc за + Sacc
9708,удержать 2.3,Snom V Sacc Sins
9709,удержать 3.1,Snom V Sacc
9710,удержать 3.2,Snom V Sacc от + Sgen
9711,удержать 4.1,Snom V Sacc
9712,удержать 5.1,Snom V Sacc
9713,удержать 5.2,Snom V Sacc за + собой
9714,удержать 6.1,Snom V Sacc
9715,удержать 6.2,Snom V Sacc из + Sgen
9716,удержать 6.3,Snom V Sacc у + Sgen
9717,удержать 6.4,Snom V Sacc за + Sacc
9718,удержать 7.1,Snom V Sacc в + Sloc
9719,удержаться 1.1,Snom V
9720,удержаться 1.2,Snom V за + Sacc
9721,удержаться 1.3,Snom V на + Sloc
9722,удержаться 1.4,Snom V на + ногах
9723,удержаться 2.1,Snom V
9724,удержаться 2.2,Snom V от + Sgen
9725,удержаться 2.3,Snom V чтобы + CL
9726,удержаться 3.1,Snom V
